Method,Num_Mut,Perf
Greedy,7,0.8824
GNN,10,1.0
Greedy,10,0.8481
GNN,12,0.9707
Greedy,12,0.8136
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9102
Greedy,10,0.8283
GNN,12,0.9346
Greedy,12,0.7544
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9189
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9091
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8966
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9765
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8132
GNN,10,1.0
Greedy,10,0.9189
GNN,12,0.9942
Greedy,12,0.7602
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9167
GNN,10,0.9696
Greedy,10,1.0
GNN,12,0.94
Greedy,12,0.6816
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9286
Greedy,10,0.8243
GNN,12,0.9482
Greedy,12,0.7864
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9502
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8605
GNN,12,0.8617
Greedy,12,0.7755
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9878
Greedy,7,0.9
GNN,10,1.0
Greedy,10,0.7561
GNN,12,0.8914
Greedy,12,0.7391
GNN,5,1.0
Greedy,5,0.9088
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9886
Greedy,10,1.0
GNN,12,0.8199
Greedy,12,0.8634
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9818
Greedy,10,0.9
GNN,12,0.9801
Greedy,12,0.8909
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9565
Greedy,10,1.0
GNN,12,0.9789
Greedy,12,0.8462
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9803
Greedy,10,0.9189
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8
GNN,12,0.7331
Greedy,12,0.7091
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8446
Greedy,10,1.0
GNN,12,0.9937
Greedy,12,0.7959
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8537
GNN,12,0.9696
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9416
Greedy,12,1.0
GNN,5,1.0
Greedy,5,0.9474
GNN,7,1.0
Greedy,7,0.9524
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9581
Greedy,12,0.8525
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9
GNN,10,0.9931
Greedy,10,0.7925
GNN,12,0.9937
Greedy,12,0.931
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9737
GNN,12,1.0
Greedy,12,0.8571
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.7497
Greedy,12,0.7758
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8553
GNN,10,1.0
Greedy,10,0.8621
GNN,12,0.9189
Greedy,12,0.7861
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9691
Greedy,10,0.7971
GNN,12,0.9462
Greedy,12,0.9773
GNN,5,1.0
Greedy,5,0.781
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.8988
Greedy,12,0.8868
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9854
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9615
GNN,12,0.7985
Greedy,12,0.7985
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9899
Greedy,10,0.7787
GNN,12,1.0
Greedy,12,0.9024
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9896
Greedy,7,0.8413
GNN,10,0.8946
Greedy,10,0.9027
GNN,12,0.9381
Greedy,12,0.9153
GNN,5,0.9286
Greedy,5,1.0
GNN,7,0.9797
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.7991
Greedy,12,0.7729
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9286
GNN,12,0.9722
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.8958
Greedy,12,0.9583
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9906
Greedy,10,0.8974
GNN,12,0.9904
Greedy,12,0.8947
GNN,5,1.0
Greedy,5,0.9757
GNN,7,1.0
Greedy,7,1.0
