Method,Beta,Perf
SCITE,0.4,0.9789
FCNN-3,0.4,1.0
GNN-4,0.4,1.0
Greedy,0.4,0.875
SCITE,0.4,1.0
FCNN-3,0.4,1.0
GNN-4,0.4,1.0
Greedy,0.4,1.0
SCITE,0.4,1.0
FCNN-3,0.4,0.9023
GNN-4,0.4,0.9099
Greedy,0.4,0.8178
SCITE,0.4,0.9541
FCNN-3,0.4,0.9626
GNN-4,0.4,0.6397
Greedy,0.4,0.863
SCITE,0.4,1.0
FCNN-3,0.4,0.9957
GNN-4,0.4,0.9878
Greedy,0.4,0.9345
SCITE,0.4,1.0
FCNN-3,0.4,0.9665
GNN-4,0.4,0.9294
Greedy,0.4,0.8753
SCITE,0.4,0.9375
FCNN-3,0.4,1.0
GNN-4,0.4,1.0
Greedy,0.4,1.0
SCITE,0.4,1.0
FCNN-3,0.4,1.0
GNN-4,0.4,1.0
Greedy,0.4,0.9746
SCITE,0.4,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.979
GNN-4,0.5,0.946
Greedy,0.5,0.9708
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.8215
GNN-4,0.5,0.6358
Greedy,0.5,0.7626
SCITE,0.5,0.8541
FCNN-3,0.5,0.9478
GNN-4,0.5,0.8936
Greedy,0.5,0.9478
SCITE,0.5,0.9547
FCNN-3,0.5,0.9696
GNN-4,0.5,0.9405
Greedy,0.5,0.9528
SCITE,0.5,0.9919
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9981
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9301
GNN-4,0.5,0.8164
Greedy,0.5,0.9802
SCITE,0.5,0.9601
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9566
GNN-4,0.5,0.8814
Greedy,0.5,0.8562
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9609
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.8678
GNN-4,0.5,0.8678
Greedy,0.5,0.8678
SCITE,0.5,0.9232
FCNN-3,0.5,0.9553
GNN-4,0.5,0.6972
Greedy,0.5,0.948
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9726
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9056
GNN-4,0.5,0.9672
Greedy,0.5,0.9041
SCITE,0.5,0.9948
FCNN-3,0.5,0.9187
GNN-4,0.5,1.0
Greedy,0.5,0.8936
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9551
GNN-4,0.5,0.9357
Greedy,0.5,0.9551
SCITE,0.5,0.9328
FCNN-3,0.5,1.0
GNN-4,0.5,0.8338
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.6954
GNN-4,0.5,0.8827
Greedy,0.5,0.7461
SCITE,0.5,0.8857
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9592
GNN-4,0.5,0.9173
Greedy,0.5,0.9592
SCITE,0.5,0.9953
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.7566
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.8731
GNN-4,0.5,0.6918
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9632
GNN-4,0.5,0.902
Greedy,0.5,0.9386
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9679
GNN-4,0.5,0.878
Greedy,0.5,0.9679
SCITE,0.5,0.9701
FCNN-3,0.5,0.9605
GNN-4,0.5,0.9082
Greedy,0.5,0.9605
SCITE,0.5,0.972
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9994
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9631
Greedy,0.5,0.9631
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.874
GNN-4,0.5,0.874
Greedy,0.5,0.9651
SCITE,0.5,0.9891
FCNN-3,0.5,0.9232
GNN-4,0.5,0.9127
Greedy,0.5,0.8307
SCITE,0.5,0.9885
FCNN-3,0.5,1.0
GNN-4,0.5,0.9115
Greedy,0.5,0.9327
SCITE,0.5,1.0
FCNN-3,0.5,0.948
GNN-4,0.5,1.0
Greedy,0.5,0.8554
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9321
GNN-4,0.5,0.8607
Greedy,0.5,0.919
SCITE,0.5,0.9558
FCNN-3,0.5,0.859
GNN-4,0.5,0.6568
Greedy,0.5,0.8437
SCITE,0.5,0.8845
FCNN-3,0.5,1.0
GNN-4,0.5,0.8801
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.96
GNN-4,0.5,0.741
Greedy,0.5,0.9206
SCITE,0.5,1.0
FCNN-3,0.5,0.9644
GNN-4,0.5,0.9844
Greedy,0.5,0.8053
SCITE,0.5,1.0
FCNN-3,0.5,0.967
GNN-4,0.5,0.9046
Greedy,0.5,0.967
SCITE,0.5,0.9765
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9574
GNN-4,0.5,0.8809
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9475
Greedy,0.5,0.9791
SCITE,0.5,1.0
FCNN-3,0.5,0.984
GNN-4,0.5,0.8424
Greedy,0.5,0.9231
SCITE,0.5,1.0
FCNN-3,0.5,0.9258
GNN-4,0.5,0.8751
Greedy,0.5,0.9337
SCITE,0.5,0.9553
FCNN-3,0.5,1.0
GNN-4,0.5,0.9783
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.8433
GNN-4,0.5,0.8433
Greedy,0.5,0.8433
SCITE,0.5,0.8324
FCNN-3,0.5,1.0
GNN-4,0.5,0.9028
Greedy,0.5,0.8549
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9348
GNN-4,0.5,0.8577
Greedy,0.5,0.868
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9565
GNN-4,0.5,0.8736
Greedy,0.5,0.9565
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,0.9086
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9038
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.995
Greedy,0.5,0.9612
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,0.9741
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9715
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9029
GNN-4,0.5,0.8109
Greedy,0.5,0.8924
SCITE,0.5,0.9016
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9595
GNN-4,0.5,1.0
Greedy,0.5,0.8202
SCITE,0.5,1.0
FCNN-3,0.5,0.9849
GNN-4,0.5,0.8267
Greedy,0.5,0.8336
SCITE,0.5,1.0
FCNN-3,0.5,0.8789
GNN-4,0.5,0.8518
Greedy,0.5,0.9904
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.9444
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.995
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,0.9964
GNN-4,0.5,0.9394
Greedy,0.5,0.9964
SCITE,0.5,0.9966
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,0.9761
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,0.8496
Greedy,0.5,1.0
SCITE,0.5,1.0
FCNN-3,0.5,1.0
GNN-4,0.5,1.0
Greedy,0.5,1.0
SCITE,0.5,1.0
