Method,Beta,Perf
Greedy,0.01,0.9842
SCITE,0.01,1.0
FCNN-3,0.01,0.7694
GNN-4,0.01,0.9758
Greedy,0.01,0.7694
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.846
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8325
Greedy,0.01,0.7805
SCITE,0.01,1.0
FCNN-3,0.01,0.8972
GNN-4,0.01,0.9901
Greedy,0.01,0.7735
SCITE,0.01,1.0
FCNN-3,0.01,0.9642
GNN-4,0.01,0.8099
Greedy,0.01,0.7457
SCITE,0.01,1.0
FCNN-3,0.01,0.9147
GNN-4,0.01,0.9964
Greedy,0.01,0.8657
SCITE,0.01,1.0
FCNN-3,0.01,0.7233
GNN-4,0.01,0.7145
Greedy,0.01,0.7233
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.981
Greedy,0.01,0.8949
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8336
Greedy,0.01,0.7939
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8171
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9496
GNN-4,0.01,0.8776
Greedy,0.01,0.7338
SCITE,0.01,1.0
FCNN-3,0.01,0.9591
GNN-4,0.01,0.8739
Greedy,0.01,0.8312
SCITE,0.01,1.0
FCNN-3,0.01,0.9114
GNN-4,0.01,0.9732
Greedy,0.01,0.7878
SCITE,0.01,1.0
FCNN-3,0.01,0.8617
GNN-4,0.01,1.0
Greedy,0.01,0.754
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.959
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9508
GNN-4,0.01,0.9508
Greedy,0.01,0.8693
SCITE,0.01,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9437
SCITE,0.1,1.0
FCNN-3,0.1,0.9468
GNN-4,0.1,0.9541
Greedy,0.1,0.9027
SCITE,0.1,1.0
FCNN-3,0.1,0.9922
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9511
GNN-4,0.1,1.0
Greedy,0.1,0.8938
SCITE,0.1,1.0
FCNN-3,0.1,0.9027
GNN-4,0.1,0.8798
Greedy,0.1,0.7349
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9871
Greedy,0.1,0.9197
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.8939
SCITE,0.1,1.0
FCNN-3,0.1,0.9556
GNN-4,0.1,1.0
Greedy,0.1,0.863
SCITE,0.1,1.0
FCNN-3,0.1,0.9556
GNN-4,0.1,0.9363
Greedy,0.1,0.9366
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.8613
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,0.9071
Greedy,0.1,0.8499
SCITE,0.1,1.0
FCNN-3,0.1,0.8414
GNN-4,0.1,0.8975
Greedy,0.1,0.7121
SCITE,0.1,1.0
FCNN-3,0.1,1.0
