Method,Num_Mut,Perf
Greedy,10,0.963
GNN,12,0.9333
Greedy,12,0.9333
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.898
Greedy,10,0.8367
GNN,12,1.0
Greedy,12,0.8103
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9524
Greedy,7,0.9524
GNN,10,0.8506
Greedy,10,0.7671
GNN,12,0.8323
Greedy,12,0.8824
GNN,5,1.0
Greedy,5,0.9412
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.8852
Greedy,12,0.7822
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.95
GNN,10,1.0
Greedy,10,0.7543
GNN,12,0.9101
Greedy,12,0.7564
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8178
GNN,10,0.9118
Greedy,10,0.773
GNN,12,0.8187
Greedy,12,0.771
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9075
Greedy,10,0.8409
GNN,12,0.8376
Greedy,12,0.7902
GNN,5,1.0
Greedy,5,0.9635
GNN,7,0.92
Greedy,7,0.8762
GNN,10,0.9412
Greedy,10,0.9412
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9672
Greedy,12,0.8525
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9412
GNN,12,0.7654
Greedy,12,0.7654
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9444
GNN,10,0.9333
Greedy,10,0.9333
GNN,12,0.8178
Greedy,12,0.8178
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9756
GNN,12,0.9245
Greedy,12,0.7493
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9333
Greedy,7,0.8667
GNN,10,1.0
Greedy,10,0.8801
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.931
Greedy,10,0.931
GNN,12,1.0
Greedy,12,0.9298
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9216
Greedy,10,0.9216
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.973
Greedy,10,0.973
GNN,12,0.9583
Greedy,12,0.9583
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.8635
Greedy,7,0.8148
