Method,Time
FCNN-3,17.35337543487549
GNN-4,1.2996478080749512
Greedy,7.452535629272461
SCITE,0.22686
FCNN-3,16.498512506484985
GNN-4,1.2983381748199463
Greedy,8.7856924533844
SCITE,0.217232
FCNN-3,18.482259273529053
GNN-4,1.2905895709991455
Greedy,6.784843921661377
SCITE,0.326772
FCNN-3,12.98957347869873
GNN-4,1.3032212257385254
Greedy,5.381437540054321
SCITE,0.259988
FCNN-3,16.00860357284546
GNN-4,1.2961063385009766
Greedy,6.914578676223755
SCITE,0.240754
FCNN-3,17.47711157798767
GNN-4,1.291551113128662
Greedy,7.835529565811157
SCITE,0.256315
FCNN-3,14.030287027359009
GNN-4,1.2874412536621094
Greedy,9.211280584335327
SCITE,0.44781400000000005
FCNN-3,15.798766136169434
GNN-4,1.280862808227539
Greedy,7.716140985488892
SCITE,0.26337900000000003
FCNN-3,16.182037830352783
GNN-4,1.259796380996704
Greedy,7.605798721313477
SCITE,0.20784899999999998
FCNN-3,16.092713832855225
GNN-4,1.2610750198364258
Greedy,5.112525701522827
SCITE,0.241615
FCNN-3,16.373409748077393
GNN-4,1.2586150169372559
Greedy,6.311651706695557
SCITE,0.27711399999999997
FCNN-3,14.857682704925537
GNN-4,1.2678804397583008
Greedy,5.983585834503174
SCITE,0.40612400000000004
FCNN-3,13.713445901870728
GNN-4,1.2663300037384033
Greedy,7.337183713912964
SCITE,0.218257
FCNN-3,15.1563401222229
GNN-4,1.2647035121917725
Greedy,6.695585012435913
SCITE,0.214868
FCNN-3,14.527452945709229
GNN-4,1.264876365661621
Greedy,8.297547101974487
SCITE,0.21152500000000002
FCNN-3,13.757723808288574
GNN-4,1.2664387226104736
Greedy,6.450809717178345
SCITE,0.221506
FCNN-3,14.432320356369019
GNN-4,1.1259222030639648
Greedy,4.705300569534302
SCITE,0.254904
FCNN-3,17.346965312957764
GNN-4,1.2453334331512451
Greedy,4.943670749664307
SCITE,0.40023000000000003
FCNN-3,14.160196542739868
GNN-4,1.2631425857543945
Greedy,5.3261659145355225
SCITE,0.218327
FCNN-3,16.122217416763306
GNN-4,1.2527365684509277
Greedy,6.670132398605347
SCITE,0.381378
FCNN-3,13.712610721588135
GNN-4,1.2477679252624512
Greedy,5.545708179473877
SCITE,0.26413400000000004
FCNN-3,15.268174886703491
GNN-4,1.422194004058838
Greedy,6.325851202011108
SCITE,0.315112
FCNN-3,17.529547452926636
GNN-4,1.2506976127624512
Greedy,8.335477828979492
SCITE,0.213837
FCNN-3,12.42087173461914
GNN-4,1.2431738376617432
Greedy,4.887222051620483
SCITE,0.265389
FCNN-3,15.931101083755493
GNN-4,1.2452898025512695
Greedy,5.382802486419678
SCITE,0.23460499999999998
FCNN-3,14.353215456008911
GNN-4,1.244959831237793
Greedy,8.35330057144165
SCITE,0.241857
FCNN-3,11.964884042739868
GNN-4,1.2433407306671143
Greedy,4.86115026473999
SCITE,0.246232
FCNN-3,16.76770329475403
GNN-4,1.251267671585083
Greedy,6.260106563568115
SCITE,0.615812
FCNN-3,15.256154775619507
GNN-4,1.254584550857544
Greedy,5.536273717880249
SCITE,0.219515
FCNN-3,14.752247333526611
GNN-4,1.2456486225128174
Greedy,5.900254487991333
SCITE,0.27348500000000003
FCNN-3,16.99756169319153
GNN-4,1.2508959770202637
Greedy,8.831258535385132
SCITE,0.21809
FCNN-3,15.724663734436035
GNN-4,1.2520990371704102
Greedy,5.350438833236694
SCITE,0.215609
FCNN-3,13.503901958465576
GNN-4,1.2485015392303467
Greedy,4.914151191711426
SCITE,0.31849700000000003
FCNN-3,16.789902448654175
GNN-4,1.244027853012085
Greedy,6.514273166656494
SCITE,0.24818600000000002
FCNN-3,13.996883869171143
GNN-4,1.2500739097595215
Greedy,8.3148832321167
SCITE,0.285352
FCNN-3,17.929461002349854
GNN-4,1.2502799034118652
Greedy,5.665547847747803
SCITE,0.317608
FCNN-3,18.997580766677856
GNN-4,1.2519385814666748
Greedy,7.640520811080933
SCITE,0.214424
FCNN-3,17.70046067237854
GNN-4,1.2550721168518066
Greedy,6.379414796829224
SCITE,0.255562
FCNN-3,14.898820161819458
GNN-4,1.2462165355682373
Greedy,7.884922981262207
SCITE,0.40864100000000003
FCNN-3,12.259117126464844
GNN-4,1.250023603439331
Greedy,7.636507272720337
SCITE,0.238044
FCNN-3,13.669201612472534
GNN-4,1.2432823181152344
Greedy,6.666343688964844
SCITE,0.260756
FCNN-3,15.05115556716919
GNN-4,1.244948387145996
Greedy,6.6442506313323975
SCITE,0.19822599999999999
FCNN-3,16.974946975708008
GNN-4,1.2459378242492676
Greedy,4.138714790344238
SCITE,1.3316210000000002
FCNN-3,17.508280992507935
GNN-4,1.288489818572998
Greedy,9.45083236694336
SCITE,0.212951
FCNN-3,16.453005075454712
GNN-4,1.2918787002563477
Greedy,4.712133407592773
SCITE,0.588401
FCNN-3,15.643457174301147
GNN-4,1.261141061782837
Greedy,5.839452743530273
SCITE,0.315507
FCNN-3,14.7797212600708
GNN-4,1.260223150253296
Greedy,9.611008405685425
SCITE,0.208014
FCNN-3,17.87713360786438
GNN-4,1.5128304958343506
Greedy,5.8323962688446045
SCITE,0.27644
FCNN-3,16.36518168449402
GNN-4,1.2474868297576904
Greedy,7.629392623901367
SCITE,0.276874
FCNN-3,14.337558031082153
GNN-4,1.254363775253296
Greedy,8.275270938873291
SCITE,0.229672
