Method,Beta,Perf
FCNN-3,0.01,0.4431
GNN-4,0.01,0.2026
Greedy,0.01,-0.3988
SCITE,0.01,0.4431
FCNN-3,0.01,-0.2795
GNN-4,0.01,-0.0769
Greedy,0.01,-1.1913
SCITE,0.01,0.4296
FCNN-3,0.01,-0.239
GNN-4,0.01,0.8314
Greedy,0.01,-0.239
SCITE,0.01,0.8314
FCNN-3,0.01,-0.4169
GNN-4,0.01,-1.2166
Greedy,0.01,-1.0833
SCITE,0.01,0.3829
FCNN-3,0.01,0.4034
GNN-4,0.01,0.2745
Greedy,0.01,0.4034
SCITE,0.01,0.4034
FCNN-3,0.01,0.1774
GNN-4,0.01,-0.0708
Greedy,0.01,0.1774
SCITE,0.01,0.1774
FCNN-3,0.01,-0.6022
GNN-4,0.01,0.5117
Greedy,0.01,-0.6022
SCITE,0.01,0.6974
FCNN-3,0.01,-2.1695
GNN-4,0.01,-0.7042
Greedy,0.01,-2.1695
SCITE,0.01,0.4681
FCNN-3,0.01,-3.2292
GNN-4,0.01,-0.6536
Greedy,0.01,-3.5726
SCITE,0.01,0.8918
FCNN-3,0.01,0.5499
GNN-4,0.01,-0.5547
Greedy,0.01,-0.0024
SCITE,0.01,0.5499
FCNN-3,0.01,-3.0439
GNN-4,0.01,-4.3284
Greedy,0.01,-4.0948
SCITE,0.01,0.4593
FCNN-3,0.01,-4.0309
GNN-4,0.01,-4.0309
Greedy,0.01,-4.0309
SCITE,0.01,0.7562
FCNN-3,0.01,0.2556
GNN-4,0.01,-0.7699
Greedy,0.01,0.0505
SCITE,0.01,0.6657
FCNN-3,0.01,-1.3547
GNN-4,0.01,-5.7786
Greedy,0.01,-5.0202
SCITE,0.01,0.5412
FCNN-3,0.01,0.4256
GNN-4,0.01,-0.2073
Greedy,0.01,-0.0491
SCITE,0.01,0.4256
FCNN-3,0.01,0.3268
GNN-4,0.01,-0.271
Greedy,0.01,-0.1515
SCITE,0.01,0.3268
FCNN-3,0.01,0.0748
GNN-4,0.01,0.1961
Greedy,0.01,-0.4102
SCITE,0.01,0.5599
FCNN-3,0.01,0.6186
GNN-4,0.01,0.1505
Greedy,0.01,0.6186
SCITE,0.01,0.6186
FCNN-3,0.01,0.4754
GNN-4,0.01,-0.5362
Greedy,0.01,-1.2587
SCITE,0.01,0.4754
FCNN-3,0.01,-0.1893
GNN-4,0.01,-1.308
Greedy,0.01,-0.1893
SCITE,0.01,0.2583
FCNN-3,0.01,0.3941
GNN-4,0.01,-1.3071
Greedy,0.01,-0.3911
SCITE,0.01,0.3941
FCNN-3,0.01,-0.0773
GNN-4,0.01,-1.4893
Greedy,0.01,-1.2069
SCITE,0.01,0.4875
FCNN-3,0.01,0.8714
GNN-4,0.01,0.4629
Greedy,0.01,-2.6007
SCITE,0.01,0.8714
FCNN-3,0.01,-0.6592
GNN-4,0.01,-1.5206
Greedy,0.01,-1.176
SCITE,0.01,0.3746
FCNN-3,0.01,0.6144
GNN-4,0.01,0.6144
Greedy,0.01,0.1412
SCITE,0.01,0.6144
FCNN-3,0.01,-1.3016
GNN-4,0.01,-1.3016
Greedy,0.01,-1.7346
SCITE,0.01,0.6471
FCNN-3,0.01,0.1558
GNN-4,0.01,-1.2448
Greedy,0.01,0.1558
SCITE,0.01,0.2831
FCNN-3,0.01,0.4552
GNN-4,0.01,-1.0458
Greedy,0.01,-1.4961
SCITE,0.01,0.4552
FCNN-3,0.01,0.0358
GNN-4,0.01,0.3267
Greedy,0.01,0.0358
SCITE,0.01,0.4721
FCNN-3,0.01,0.0667
GNN-4,0.01,-1.6458
Greedy,0.01,-0.4226
SCITE,0.01,0.4337
FCNN-3,0.01,0.0252
GNN-4,0.01,-0.869
Greedy,0.01,-0.869
SCITE,0.01,0.153
FCNN-3,0.01,0.5341
GNN-4,0.01,0.3569
Greedy,0.01,0.5341
SCITE,0.01,0.5341
FCNN-3,0.01,0.122
GNN-4,0.01,-0.2573
Greedy,0.01,0.122
SCITE,0.01,0.5013
FCNN-3,0.01,-2.4233
GNN-4,0.01,-1.8674
Greedy,0.01,-3.8132
SCITE,0.01,0.7735
FCNN-3,0.01,-0.7141
GNN-4,0.01,-3.5621
Greedy,0.01,-1.6041
SCITE,0.01,0.7099
FCNN-3,0.01,0.6183
GNN-4,0.01,0.3842
Greedy,0.01,-1.0208
SCITE,0.01,0.6183
FCNN-3,0.01,-0.0457
GNN-4,0.01,-2.096
Greedy,0.01,-0.0457
SCITE,0.01,0.2698
FCNN-3,0.01,0.1654
GNN-4,0.01,-0.2123
Greedy,0.01,-0.0864
SCITE,0.01,0.1654
FCNN-3,0.01,-0.789
GNN-4,0.01,-0.789
Greedy,0.01,-0.9203
SCITE,0.01,0.261
FCNN-3,0.01,0.8594
GNN-4,0.01,0.6361
Greedy,0.01,-2.0431
SCITE,0.01,0.8594
FCNN-3,0.01,0.2051
GNN-4,0.01,-0.2745
Greedy,0.01,0.2051
SCITE,0.01,0.2051
FCNN-3,0.01,0.2585
GNN-4,0.01,-1.503
Greedy,0.01,-1.3429
SCITE,0.01,0.5788
FCNN-3,0.01,-0.012
GNN-4,0.01,0.4251
Greedy,0.01,-0.012
SCITE,0.01,0.4251
FCNN-3,0.01,0.2207
GNN-4,0.01,0.3591
Greedy,0.01,-0.4714
SCITE,0.01,0.636
FCNN-3,0.01,-0.8959
GNN-4,0.01,-0.5699
Greedy,0.01,-0.8959
SCITE,0.01,0.4082
FCNN-3,0.01,-0.0233
GNN-4,0.01,-2.6472
Greedy,0.01,-1.2581
SCITE,0.01,0.5941
FCNN-3,0.01,0.7675
GNN-4,0.01,-4.5113
Greedy,0.01,-3.2273
SCITE,0.01,0.7675
FCNN-3,0.01,0.6974
GNN-4,0.01,-0.6022
Greedy,0.01,-1.1592
SCITE,0.01,0.6974
FCNN-3,0.01,0.5338
GNN-4,0.01,0.3566
Greedy,0.01,-1.2387
SCITE,0.01,0.5338
FCNN-3,0.01,-0.1664
GNN-4,0.01,-0.9222
Greedy,0.01,-0.1664
SCITE,0.01,0.5894
FCNN-3,0.01,0.8226
GNN-4,0.01,-1.7115
Greedy,0.01,0.8226
SCITE,0.01,0.8226
FCNN-3,0.01,-0.0348
GNN-4,0.01,0.2774
Greedy,0.01,-0.9713
SCITE,0.01,0.7456
FCNN-3,0.01,0.2004
GNN-4,0.01,0.2004
Greedy,0.01,-0.0408
SCITE,0.01,0.321
FCNN-3,0.01,-0.5032
GNN-4,0.01,-2.6885
Greedy,0.01,-1.5958
SCITE,0.01,0.7456
FCNN-3,0.01,0.2958
GNN-4,0.01,-2.4204
Greedy,0.01,-1.4504
SCITE,0.01,0.6838
FCNN-3,0.01,0.5067
GNN-4,0.01,-0.0369
Greedy,0.01,-0.9882
SCITE,0.01,0.5067
FCNN-3,0.01,-1.8188
GNN-4,0.01,-0.5264
Greedy,0.01,-1.8188
SCITE,0.01,0.3352
FCNN-3,0.01,-0.6373
GNN-4,0.01,-0.9189
Greedy,0.01,-1.6228
SCITE,0.01,0.489
FCNN-3,0.01,0.6186
GNN-4,0.01,0.1505
Greedy,0.01,0.6186
SCITE,0.01,0.6186
FCNN-3,0.01,0.2519
GNN-4,0.01,-5.3293
Greedy,0.01,-1.2099
SCITE,0.01,0.5176
FCNN-3,0.01,0.3721
GNN-4,0.01,0.2606
Greedy,0.01,0.0376
SCITE,0.01,0.3721
FCNN-3,0.01,0.577
GNN-4,0.01,0.0579
Greedy,0.01,-0.4611
SCITE,0.01,0.577
FCNN-3,0.01,-0.4549
GNN-4,0.01,-9.0355
Greedy,0.01,-1.9803
SCITE,0.01,0.6892
FCNN-3,0.01,0.5054
GNN-4,0.01,0.3173
Greedy,0.01,-0.0589
SCITE,0.01,0.5054
FCNN-3,0.01,-2.4897
GNN-4,0.01,-3.1595
Greedy,0.01,-2.4897
SCITE,0.01,0.8594
FCNN-3,0.01,-0.0314
GNN-4,0.01,0.335
Greedy,0.01,-0.0314
SCITE,0.01,0.7014
FCNN-3,0.01,0.738
GNN-4,0.01,-0.2265
Greedy,0.01,-1.191
SCITE,0.01,0.738
FCNN-3,0.01,-2.2375
GNN-4,0.01,-1.021
Greedy,0.01,-2.2375
SCITE,0.01,0.7168
FCNN-3,0.01,0.4151
GNN-4,0.01,0.4151
Greedy,0.01,0.4151
SCITE,0.01,0.4151
FCNN-3,0.01,-3.1632
GNN-4,0.01,-5.4738
Greedy,0.01,-4.1146
SCITE,0.01,0.7785
FCNN-3,0.01,-0.7106
GNN-4,0.01,-3.9611
Greedy,0.01,-1.7941
SCITE,0.01,0.5084
FCNN-3,0.01,0.0109
GNN-4,0.01,-1.9336
Greedy,0.01,0.0109
SCITE,0.01,0.3998
FCNN-3,0.01,-1.6253
GNN-4,0.01,-1.6253
Greedy,0.01,-3.3619
SCITE,0.01,0.7427
FCNN-3,0.01,0.0091
GNN-4,0.01,0.308
Greedy,0.01,0.0091
SCITE,0.01,0.308
FCNN-3,0.01,0.0644
GNN-4,0.01,0.4686
Greedy,0.01,0.4686
SCITE,0.01,0.4686
FCNN-3,0.01,0.185
GNN-4,0.01,-0.7447
Greedy,0.01,0.185
SCITE,0.01,0.8048
FCNN-3,0.01,-1.3299
GNN-4,0.01,-0.6462
Greedy,0.01,-1.3299
SCITE,0.01,0.7214
FCNN-3,0.01,0.5451
GNN-4,0.01,0.5451
Greedy,0.01,-0.0444
SCITE,0.01,0.5451
FCNN-3,0.01,-2.9172
GNN-4,0.01,-5.4179
Greedy,0.01,-2.623
SCITE,0.01,0.6131
FCNN-3,0.01,0.0451
GNN-4,0.01,-0.0989
Greedy,0.01,-0.531
SCITE,0.01,0.4772
FCNN-3,0.01,0.471
GNN-4,0.01,-0.9001
Greedy,0.01,-0.9001
SCITE,0.01,0.471
FCNN-3,0.01,-1.6097
GNN-4,0.01,-3.6134
Greedy,0.01,-2.7785
SCITE,0.01,0.7279
FCNN-3,0.01,0.649
GNN-4,0.01,0.649
Greedy,0.01,0.649
SCITE,0.01,0.649
FCNN-3,0.01,0.6689
GNN-4,0.01,-3.191
Greedy,0.01,-0.1437
SCITE,0.01,0.6689
FCNN-3,0.01,-2.8319
GNN-4,0.01,-0.2973
Greedy,0.01,-2.8319
SCITE,0.01,0.8549
FCNN-3,0.01,-0.0189
GNN-4,0.01,0.343
Greedy,0.01,-1.6478
SCITE,0.01,0.705
FCNN-3,0.01,-0.7218
GNN-4,0.01,-1.7582
Greedy,0.01,-2.4984
SCITE,0.01,0.7587
FCNN-3,0.01,-1.1096
GNN-4,0.01,-0.1074
Greedy,0.01,-2.4459
SCITE,0.01,0.5607
FCNN-3,0.01,0.41
GNN-4,0.01,-1.1192
Greedy,0.01,-2.521
SCITE,0.01,0.7923
FCNN-3,0.01,-0.8152
GNN-4,0.01,-0.0348
Greedy,0.01,-1.2835
SCITE,0.01,0.4334
FCNN-3,0.01,-3.797
GNN-4,0.01,-3.9181
Greedy,0.01,-3.797
SCITE,0.01,0.8027
FCNN-3,0.01,0.8608
GNN-4,0.01,-0.2441
Greedy,0.01,-1.349
SCITE,0.01,0.8608
FCNN-3,0.01,0.4991
GNN-4,0.01,-1.1567
Greedy,0.01,-1.4327
SCITE,0.01,0.4991
FCNN-3,0.01,0.4133
GNN-4,0.01,-1.1485
Greedy,0.01,0.4133
SCITE,0.01,0.4132
FCNN-3,0.01,-0.572
GNN-4,0.01,-1.3882
Greedy,0.01,-3.0206
SCITE,0.01,0.7339
FCNN-3,0.01,-0.2488
GNN-4,0.01,-0.7675
Greedy,0.01,-1.0269
SCITE,0.01,0.3996
FCNN-3,0.01,-0.8314
GNN-4,0.01,-0.2514
Greedy,0.01,-1.9914
SCITE,0.01,0.6186
FCNN-3,0.01,-1.3954
GNN-4,0.01,0.0992
Greedy,0.01,-2.4823
SCITE,0.01,0.6427
FCNN-3,0.01,0.0358
GNN-4,0.01,-0.2551
Greedy,0.01,0.0358
SCITE,0.01,0.6175
FCNN-3,0.01,-0.5164
GNN-4,0.01,-0.5164
Greedy,0.01,-1.3724
SCITE,0.01,0.4822
FCNN-3,0.1,0.1492
GNN-4,0.1,0.2827
Greedy,0.1,-0.3823
SCITE,0.1,0.2827
FCNN-3,0.1,-0.2731
GNN-4,0.1,-0.0039
Greedy,0.1,-0.4993
SCITE,0.1,0.2275
FCNN-3,0.1,-0.029
GNN-4,0.1,0.0763
Greedy,0.1,0.1836
SCITE,0.1,0.2383
FCNN-3,0.1,-0.3429
GNN-4,0.1,0.0077
Greedy,0.1,-0.7447
SCITE,0.1,0.1082
FCNN-3,0.1,-0.6503
GNN-4,0.1,-0.8037
Greedy,0.1,-1.7722
SCITE,0.1,0.2703
FCNN-3,0.1,0.1702
GNN-4,0.1,0.0862
Greedy,0.1,-0.4889
SCITE,0.1,0.1702
FCNN-3,0.1,0.1889
GNN-4,0.1,0.1889
Greedy,0.1,-0.6335
SCITE,0.1,0.1889
FCNN-3,0.1,-0.2232
GNN-4,0.1,0.0079
Greedy,0.1,-0.6884
SCITE,0.1,0.0869
FCNN-3,0.1,-0.3113
GNN-4,0.1,-0.4465
Greedy,0.1,-0.444
SCITE,0.1,0.2193
FCNN-3,0.1,0.1736
GNN-4,0.1,-0.7321
Greedy,0.1,0.1736
SCITE,0.1,0.1736
FCNN-3,0.1,0.1366
GNN-4,0.1,0.1366
Greedy,0.1,0.1366
SCITE,0.1,0.1366
FCNN-3,0.1,0.0856
GNN-4,0.1,-0.2919
Greedy,0.1,-0.5563
SCITE,0.1,0.0856
FCNN-3,0.1,-0.9267
GNN-4,0.1,-0.6567
Greedy,0.1,-2.1077
SCITE,0.1,0.1077
FCNN-3,0.1,0.2289
GNN-4,0.1,-0.5081
Greedy,0.1,-1.9996
SCITE,0.1,0.2289
FCNN-3,0.1,-0.0077
GNN-4,0.1,0.197
Greedy,0.1,-0.2823
SCITE,0.1,0.2669
FCNN-3,0.1,-0.127
GNN-4,0.1,-1.1786
Greedy,0.1,-0.127
SCITE,0.1,0.0833
FCNN-3,0.1,-2.1247
GNN-4,0.1,-3.1064
Greedy,0.1,-2.1224
SCITE,0.1,0.224
FCNN-3,0.1,0.3416
GNN-4,0.1,-0.6535
Greedy,0.1,0.3416
SCITE,0.1,0.3416
FCNN-3,0.1,-0.3664
GNN-4,0.1,-0.1324
Greedy,0.1,-0.3664
SCITE,0.1,0.1038
FCNN-3,0.1,0.1373
GNN-4,0.1,-0.0093
Greedy,0.1,0.1373
SCITE,0.1,0.1373
FCNN-3,0.1,0.4146
GNN-4,0.1,0.3279
Greedy,0.1,0.2445
SCITE,0.1,0.4146
FCNN-3,0.1,0.2906
GNN-4,0.1,0.1387
Greedy,0.1,-1.648
SCITE,0.1,0.2906
FCNN-3,0.1,0.3898
GNN-4,0.1,0.2429
Greedy,0.1,-1.1039
SCITE,0.1,0.3926
FCNN-3,0.1,0.1159
GNN-4,0.1,-0.5671
Greedy,0.1,-0.2879
SCITE,0.1,0.236
FCNN-3,0.1,0.0178
GNN-4,0.1,-0.8511
Greedy,0.1,-1.0638
SCITE,0.1,0.2481
FCNN-3,0.1,-0.4412
GNN-4,0.1,-0.1901
Greedy,0.1,-0.2541
SCITE,0.1,0.1224
FCNN-3,0.1,-0.5767
GNN-4,0.1,-1.6882
Greedy,0.1,-1.1799
SCITE,0.1,0.1898
FCNN-3,0.1,-0.9459
GNN-4,0.1,-0.7888
Greedy,0.1,-1.1994
SCITE,0.1,0.1578
FCNN-3,0.1,0.1062
GNN-4,0.1,-0.7698
Greedy,0.1,-0.2173
SCITE,0.1,0.1062
FCNN-3,0.1,0.1845
GNN-4,0.1,-0.2942
Greedy,0.1,0.1845
SCITE,0.1,0.1845
FCNN-3,0.1,-0.2446
GNN-4,0.1,0.1548
Greedy,0.1,-0.405
SCITE,0.1,0.2365
FCNN-3,0.1,0.0872
GNN-4,0.1,-0.1086
Greedy,0.1,-0.2408
SCITE,0.1,0.0873
FCNN-3,0.1,0.27
GNN-4,0.1,0.27
Greedy,0.1,-0.1318
SCITE,0.1,0.27
FCNN-3,0.1,-0.6471
GNN-4,0.1,-0.6578
Greedy,0.1,-0.6471
SCITE,0.1,0.1963
FCNN-3,0.1,0.2151
GNN-4,0.1,-0.0578
Greedy,0.1,0.2177
SCITE,0.1,0.2177
FCNN-3,0.1,0.1733
GNN-4,0.1,0.0743
Greedy,0.1,-0.2154
SCITE,0.1,0.1733
FCNN-3,0.1,-0.1938
GNN-4,0.1,0.0244
Greedy,0.1,-0.1938
SCITE,0.1,0.1906
FCNN-3,0.1,0.2352
GNN-4,0.1,0.2352
Greedy,0.1,0.2352
SCITE,0.1,0.2352
FCNN-3,0.1,0.2283
GNN-4,0.1,0.1562
Greedy,0.1,-0.454
SCITE,0.1,0.2283
FCNN-3,0.1,0.044
GNN-4,0.1,0.1239
Greedy,0.1,-1.0281
SCITE,0.1,0.2422
FCNN-3,0.1,0.1668
GNN-4,0.1,0.0947
Greedy,0.1,0.1668
SCITE,0.1,0.1668
FCNN-3,0.1,-0.012
GNN-4,0.1,-0.256
Greedy,0.1,-0.012
SCITE,0.1,0.1477
FCNN-3,0.1,-0.0104
GNN-4,0.1,-0.6638
Greedy,0.1,-0.374
SCITE,0.1,0.1345
FCNN-3,0.1,-1.1817
GNN-4,0.1,-1.42
Greedy,0.1,-1.1817
SCITE,0.1,0.1657
FCNN-3,0.1,-1.1614
GNN-4,0.1,-1.1598
Greedy,0.1,-1.1614
SCITE,0.1,0.0805
FCNN-3,0.1,-0.3695
GNN-4,0.1,-0.075
Greedy,0.1,-0.2988
SCITE,0.1,0.1516
FCNN-3,0.1,-0.5823
GNN-4,0.1,-1.4117
Greedy,0.1,-1.8828
SCITE,0.1,0.0613
FCNN-3,0.1,-0.7792
GNN-4,0.1,0.123
Greedy,0.1,-0.8922
SCITE,0.1,0.1806
FCNN-3,0.1,0.0007
GNN-4,0.1,0.0007
Greedy,0.1,0.0007
SCITE,0.1,0.1865
FCNN-3,0.1,-0.7144
GNN-4,0.1,-0.5405
Greedy,0.1,-0.5948
SCITE,0.1,0.2114
FCNN-3,0.1,0.2794
GNN-4,0.1,-0.3002
Greedy,0.1,-0.2291
SCITE,0.1,0.2794
FCNN-3,0.1,0.1456
GNN-4,0.1,0.0787
Greedy,0.1,-0.0502
SCITE,0.1,0.1456
FCNN-3,0.1,-0.2163
GNN-4,0.1,-0.3664
Greedy,0.1,-0.8019
SCITE,0.1,0.1222
FCNN-3,0.1,0.2015
GNN-4,0.1,0.2015
Greedy,0.1,0.2015
SCITE,0.1,0.2015
FCNN-3,0.1,-0.0824
GNN-4,0.1,0.2377
Greedy,0.1,-0.0824
SCITE,0.1,0.3032
FCNN-3,0.1,-0.2927
GNN-4,0.1,-0.0808
Greedy,0.1,-0.545
SCITE,0.1,0.0752
FCNN-3,0.1,0.2933
GNN-4,0.1,-0.5458
Greedy,0.1,-0.3301
SCITE,0.1,0.2933
FCNN-3,0.1,0.2605
GNN-4,0.1,0.1856
Greedy,0.1,0.3947
SCITE,0.1,0.3947
FCNN-3,0.1,0.2345
GNN-4,0.1,0.1609
Greedy,0.1,0.1609
SCITE,0.1,0.2345
FCNN-3,0.1,-2.1709
GNN-4,0.1,-3.1149
Greedy,0.1,-2.5776
SCITE,0.1,0.281
FCNN-3,0.1,0.1062
GNN-4,0.1,-0.647
Greedy,0.1,-0.9092
SCITE,0.1,0.1062
FCNN-3,0.1,0.2462
GNN-4,0.1,0.1992
Greedy,0.1,0.2462
SCITE,0.1,0.2462
FCNN-3,0.1,-0.8747
GNN-4,0.1,-0.2925
Greedy,0.1,-0.6824
SCITE,0.1,0.1445
FCNN-3,0.1,-0.7913
GNN-4,0.1,-0.7936
Greedy,0.1,-1.5338
SCITE,0.1,0.138
FCNN-3,0.1,0.1774
GNN-4,0.1,-0.375
Greedy,0.1,-0.5163
SCITE,0.1,0.1774
FCNN-3,0.1,0.1589
GNN-4,0.1,-0.6531
Greedy,0.1,0.1589
SCITE,0.1,0.1589
FCNN-3,0.1,0.1214
GNN-4,0.1,0.0341
Greedy,0.1,0.1214
SCITE,0.1,0.1214
FCNN-3,0.1,-0.0373
GNN-4,0.1,0.1135
Greedy,0.1,-0.7148
SCITE,0.1,0.2274
FCNN-3,0.1,-0.1986
GNN-4,0.1,-0.3481
Greedy,0.1,-0.1986
SCITE,0.1,0.1006
