Method,Num_Mut,Perf
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.95
GNN,10,0.8437
Greedy,10,0.7543
GNN,12,0.7388
Greedy,12,0.7564
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8178
GNN,10,0.7226
Greedy,10,0.773
GNN,12,0.7633
Greedy,12,0.771
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8227
Greedy,10,0.8409
GNN,12,0.7309
Greedy,12,0.7902
GNN,5,1.0
Greedy,5,0.9635
GNN,7,1.0
Greedy,7,0.8762
GNN,10,0.9678
Greedy,10,0.9412
GNN,12,0.9459
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9524
Greedy,7,1.0
GNN,10,0.9886
Greedy,10,1.0
GNN,12,0.8525
Greedy,12,0.8525
GNN,5,0.9479
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9412
GNN,12,0.7473
Greedy,12,0.7654
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9444
GNN,10,0.9757
Greedy,10,0.9333
GNN,12,0.8322
Greedy,12,0.8178
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9756
GNN,12,0.7218
Greedy,12,0.7493
GNN,5,0.9594
Greedy,5,1.0
GNN,7,0.9878
Greedy,7,0.8667
GNN,10,0.8943
Greedy,10,0.8801
GNN,12,0.943
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9748
Greedy,10,0.931
GNN,12,1.0
Greedy,12,0.9298
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9797
Greedy,7,1.0
GNN,10,0.9608
Greedy,10,0.9216
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9803
Greedy,10,0.973
GNN,12,1.0
Greedy,12,0.9583
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9635
Greedy,7,0.8148
GNN,10,1.0
Greedy,10,0.8374
GNN,12,0.7429
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8218
GNN,10,0.903
Greedy,10,0.7694
GNN,12,1.0
Greedy,12,0.973
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9683
Greedy,7,0.913
GNN,10,0.9865
Greedy,10,1.0
GNN,12,0.9927
Greedy,12,0.7251
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8824
GNN,10,1.0
Greedy,10,0.8481
GNN,12,0.929
Greedy,12,0.8136
GNN,5,0.9392
Greedy,5,1.0
GNN,7,0.9874
Greedy,7,1.0
GNN,10,0.8223
Greedy,10,0.8283
GNN,12,0.9696
Greedy,12,0.7544
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9594
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9091
GNN,12,0.9722
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8966
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9294
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8132
GNN,10,0.9797
